"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","#111","Martin Ospina Cuello","125cc Junior (12 – 17 años)","Yamaha","2:00.626","9","1","25","","",""
"2","#222","Maximiliano Ramirez","125cc Junior (12 – 17 años)","Yamaha","2:04.352","9","2","22","1:01.431","1:01.431",""
"3","#120","MATIAS GOMEZ ORJUELA","125cc Junior (12 – 17 años)","KTM","2:09.307","9","2","20","1:27.679","26.248",""
"4","#130","Santiago Gutierrez Castillo","125cc Junior (12 – 17 años)","GasGas","2:11.190","9","2","18","1:59.557","31.878",""
"5","#818","Santigo Ferro","125cc Junior (12 – 17 años)","Yamaha 125","2:16.769","8","2","16","1 Vuelta","1 Vuelta",""
"6","#56","Nicolás Acosta Solano","125cc Junior (12 – 17 años)","KTM 125sx","2:23.457","8","2","15","1 Vuelta","1:03.344",""
"7","#10","Matias Ospina","125cc Junior (12 – 17 años)","Husqvarna","2:32.928","7","2","14","2 Vueltas","1 Vuelta",""
"8","#114","Miguel Angel Lopez","125cc Junior (12 – 17 años)","YAMAHA","1:58.784","7","3","13","2 Vueltas","37.538",""
"NT","#120","MATIAS GOMEZ ORJUELA","125cc Junior (12 – 17 años)","KTM","","","0","0","NT","",""
"NT","#301","Sebastián Sandoval","125cc Junior (12 – 17 años)","KTM","","","0","0","NT","",""
